Address	Balance
cc1aj0jfydrjmwhzgk0fjcvu68dvmc4klgrjtpc86	4900
cc1kl855verd58uac9ws5wylk8trsgkmggldc7kp2	500
cc1rc2s3l5sh36uk42xzy6v53dmfkqgkr6rdz9xs4	18850
cc1ck6fzhla992z4qjslek38h5qdw87jmvupw5pa5	5200
cc1kfrq72eqpdac36uzux3z8y0u0ff2w7gvj9la6k	1000
cc1szj8cguttxn27xg4rg6xlag8qe6ajd4kqsca5k	1100
cc18dnnlpy3l6j7v0pekf73xxm6kh3z7chhpp6xev	300
cc1yqarkyv5ul527sdqsknlnfp6t92ve9pt5llxpa	400
cc1zhwn5c7sh7q9uc5zajukdy275fcr4wfu5p6s54	200
cc1ryn4vth06ltxp4j97r2r5ym3pwyyx0k2m700dj	200
cc18ynft7qquyz3zt3c2f9xvmwn480p473gz42g5j	200
cc1grs4xnejr3mepnk58jg39ksxlueyhpdhx77jjy	200
cc1fkzj2d0h3c5jgvvwwstww8w5czj6mvjgdl0lxp	200
cc12lv93ppqkce4ds5rd5yaccxs8gjlqpnk5atj7w	200
cc1jyjcktt92avq4fhjgcqsp38r8flza3la4ahudx	200
cc1jxqhq2kskfzyhhm4acy8cd68ph5az54t0tdyud	200
cc1jjenfqlk00swjpn8vwd93rzx0guxg3tmrgsw90	200
cc15nxn2qs00y367qw3789dc089kv2dmdakcva2ud	200
cc146dmvlqxrcwa2h6ulg34l84wg07pmycyfsr0mq	200
cc1mp77nu88lx3760lzpqf868s49ezdpg7gfljkun	200
cc1mjqmlxa8aze6mduq4ucyvtdjttc78dgtt0secn	200
cc1mj46rutp0sr029fkr8jwlkgmkqqu0fdn7kjlrk	200
cc1u7wrw08y8wm0m8ev9c5tu62fk9jwa2vst6ajfa	200
cc1s9fljs8pfz60qqg6wj6hxhu82tjfqu6yn0x82q	200
cc1d2gnx8gxf44tkjky7ftwfkg9k0lln56xfaxucp	200
cc1g76zzp0neeulx9p7cvfh00vz2eq5d04v26ntsg	100
cc19u8dpw8jp4mcelpelhp3pkam2sxzr6gdz8y3zt	100
cc1q2w9a8ac7080tpt6tf0tth3f5qar6375j4z9s7	100
cc13ycv4yp4u58xk9gghwlfjkey2y9smezpezd4x4	100
cc1unulf3ezmkwjdgcmvskkc3anf3phw8fh8krxv7	100
cc1vuzh99j2ggdf3c2rzkwursvp2jx9r4u7mvuj8h	100
cc1fgwaqndwpl2hmk6vv98vt07fkefvx46wtdkt2h	100
cc1m9dwd037y7ma059xsnzwey92xk3v8jmy6lsuys	100
cc1x4yvn76pveqwej9gy3pcxqst5z66p4e2wzg70a	100
cc1pjpaf9af7kh83kk7z4wgxyaw6772qggajzkt7x	100
cc1rhdpj0vrfmdfxwntj8evmncdhc35xp0edsnczk	100
cc1yc2zwyh6v545nv5sgh7gv340nlc7x5wf0kyu53	100
cc1x2m6chcf68ujqqcsm8smu2ycfltf3cf486t2x8	100
cc1xwcl8277d39q75q6eear3y8m8ymrapmtsf5wty	100
cc18nyh27lwp5dp8j396srrvq52hufeu9vs9uwjyk	100
cc12jzf6x8qe77ephgx0cs0q276g2ptapzlr4k2ew	100
cc12jwxqch0xv6yn5e5jlyszqae43vzsag7xemygj	100
cc1vg2kwnamjp0q0rdcsq2n8wkp0sx7c042ehuwek	100
cc1vwg80fptuqmn0e3tnnqcgd0sm3u3a2s09qtq5m	100
cc1dwx5cq7q53mlvkyjpgpwafyktk76qnxtaxm9j3	100
cc1d5cpaahz23nanxd69aeag44xecp0fu0a5flfus	100
cc1wkuexd8n4lvd6032p4yuwnuf4cctd8m9cph6j5	100
cc13p9cvq5atl2cagnjsxsm72vnyfkfnngulj28g3	100
cc13sany3heekznx5d2yur3v7rxj3f00ma6jv5eqq	100
cc1jpucyzqw96sdpkqqkhz2k6qqte08ev88yy3jja	100
cc1n44vc78vjmuvpfcaxarzta8wsutrh08cy36u3v	100
cc14va4c3sfpxyapjjgl9mguwr82zc6v4f4tzellx	100
cc1hjjv4h3l2x77vrv0ypvcu6twuy0tfnx8s8yj6k	100
cc1hmsev8vpg60h67plrwvx2tmx3xzwfednjvl2fz	100
cc1cqd0ka6td2tr7ulfd3ynggk0njspcp5827x3hn	100
cc1cvaf96kz8jz8u4435p0yrjgel0t8zgz33p2cpe	100
cc1qrjt6rsmn9qvs52suyujhuu8qp7a3520es7xy4	100
cc1prnmjqvp2080lgugjle0492ratxa387npjgz37	100
cc1zhhwr8gk8pqf9p9eamxnqqstmtszjazw6ctxlf	100
cc1y4lg7qhx2yusxvekhwj8gzh2vu006kk0galqpz	100
cc19hwl8xvvk0fsu5lyakum22wstkdclfh82nlt3t	100
cc1f8s69xmkm9e0uxjr9ylg0rfxukfzgwldphv5y9	100
cc1fn5e0z6uvk4ne5tnyv9mgl8h5qrddyvqfygele	100
cc12l3zzykqyuunf9nlh2kkmugr09euy5hd5lcgws	100
cc1vknmv3g5vfg96276m3nuzg3temqthz0exru50z	100
cc1d8xlprsr30l6uzctkwnx0k7hygdrx9x9mlzqdw	100
cc1dwjsqp2psjyyaujxmwv76e6dk767tuamhxx0t2	100
cc1w79t4xnxhfvtu54m3ymw2fvthdj9pfg7h7wf9z	100
cc1wl2hjmg2g5rhx5xc89r6gl77t6tdedgy25u5n8	100
cc1wlmkgs6mckzphx42pxm8xaxwd9q997y2dzcphp	100
cc10zh0cdzdzxz8449v0pg4a2f32yueq8szrkw9qc	100
cc13rvr4c369rhw63pjxcjvjpjy5ck9mm6pajz87r	100
cc13dfkcqn9xczkje8lvsx9rawfmnfh595g43zl23	100
cc13h9d5z77sfksv6uweheg38669g270puzkw5pwx	100
cc1jdxal827zlmpjpdu75v9zcuda4gfudryxql2ze	100
cc1jhq2grn4l2ht8fakggnzakwl6snfc72tepkec4	100
cc1nfn9yev2ry0nmh0r5akpym58udmevt75pume5s	100
cc147zd6esmydn05pjwghzxmp2lztk0562gal3qnp	100
cc1kg85kh7pamfnj2j3k4g0y93nwkpj4txfvxk86d	100
cc1k2tyxj9pjxskpnqf87prkr9whzagnx5a04wg9k	100
cc1k2h63lt9upzr40rsa74w6gz57v52qpewy5w3xe	100
cc1k4xdq5n5t0wmlttn3n05rlk2wrftfp3vs8997n	100
cc1c4smhzxtlzarjgrnueetdcjm3kjq3kx4sfkk3j	100
cc1ekdz6rlnh4sx02wnwhdzheqq4l7pgvptjn2yu9	100
cc1ehad6hausea0qc8t3amxlpqs5rx2c05zmds3k9	100
cc1mwqyt2f7u69wcv7gxspv9m4jlq29gdadyfww0d	100
cc1msd2mq4huqkfah4dcx7fy4jjc5ulslamrhly7r	100
cc1uthk7gmxz8c7jfxdvcq9rsp8xpl5gsm55pqt64	100
cc1u5c8ace2udgddx479gm5mm2gx9n2dtnfzztw3g	100
cc1a4pv5q7xd3udc9m5tmvkr8gsfyu9l8nz8plx4y	100
cc17p0qlp5j6de7tjr0fuu8xyp708d292tvx8wrek	100
cc178g3555nt2ks6t7fqrzzt566yrzqfxexky3scz	100
cc17h6ecc8w29763hxrtu3amh6ntz6scr2l5cdv0x	100
cc17ugzhkk06rpwcxelkcjjwnudntdkx396377xyz	100
