Address	Balance
cc1pfhx45ajlpk85sfn3mwyfvznct2tdeuv7vv7v6	100
cc1pdd0nmuj0xfwhfyt7h3wkx9zgjvs3hzl8p464f	800
cc1p3kejss5t4zugkaffpdm65h0lvv4847rpfhdwt	200
cc1zhhwr8gk8pqf9p9eamxnqqstmtszjazw6ctxlf	1100
cc1ryn4vth06ltxp4j97r2r5ym3pwyyx0k2m700dj	1600
cc1yqarkyv5ul527sdqsknlnfp6t92ve9pt5llxpa	1600
cc1y4lg7qhx2yusxvekhwj8gzh2vu006kk0galqpz	1500
cc19t92n5x7tqe47umqn8gjynnsyp3748f4rh9fsv	900
cc18ynft7qquyz3zt3c2f9xvmwn480p473gz42g5j	1400
cc182rjm0k682kjramysj7dwrvmznktx5kdpnjydf	1000
cc18nyh27lwp5dp8j396srrvq52hufeu9vs9uwjyk	1000
cc1grs4xnejr3mepnk58jg39ksxlueyhpdhx77jjy	1100
cc1f8s3eeyrj29f8t9g0ev9v8703qm4rz4lrwlxdr	400
cc1fn5e0z6uvk4ne5tnyv9mgl8h5qrddyvqfygele	1400
cc1fkzj2d0h3c5jgvvwwstww8w5czj6mvjgdl0lxp	1400
cc126erf9dmm4e3fs0suk9lnv24wudswkm3egnpgn	900
cc12lv93ppqkce4ds5rd5yaccxs8gjlqpnk5atj7w	1300
cc1vqeqtya4lca8qdw8zprcwcxaw0n8hj7yfn4lvz	400
cc1v32ggu70yw6mwh7zeyaz7a9n0znkk34ypsc59h	100
cc1vnyum3ntr4ejhhekfd5ke5ul74rcgcx5ku5xes	100
cc1d8xlprsr30l6uzctkwnx0k7hygdrx9x9mlzqdw	1300
cc1d2gnx8gxf44tkjky7ftwfkg9k0lln56xfaxucp	1200
cc1dlwt50shlr8rfyv8fddq4u3rxltgz2vnmhuzvk	1100
cc1wl2hjmg2g5rhx5xc89r6gl77t6tdedgy25u5n8	1400
cc10ssdxk9zje7nqpeh7qgwl9jam7nywrzr62f0ks	400
cc1szj8cguttxn27xg4rg6xlag8qe6ajd4kqsca5k	4600
cc1s9fljs8pfz60qqg6wj6hxhu82tjfqu6yn0x82q	1500
cc1smcvnxuvy3w2xe3r42w9g0pvusngv97l27krqu	600
cc1jyjcktt92avq4fhjgcqsp38r8flza3la4ahudx	1400
cc1n598l66my3w90ccp5z2d3qg8k4qfq0xfffhw92	900
cc1r9zywgy53xg093ssdfkr9agudnyfzpmmc5hdhu	100
cc14vsg3gz8q4yvmx3hnuqvh658z6vkyp3z3k03z5	400
cc14khh7xa8jy6knqxg9qqfp9fu7c5wea02jndq8x	600
cc14la3tkfuzwyr6ve7q0wnr4rtly0s02ufp5mq8v	400
cc1k2tyxj9pjxskpnqf87prkr9whzagnx5a04wg9k	1400
cc1klsyj8ptejt4ufy86drxd8vm3vsas8hhucstla	1400
cc1h7hvgrlw87xjt2afwjtvwac4nnlgpdg54ss27g	1100
cc1cve8ft5d7hmccz7ehc8qxzrc0cq9s6egg5zd9k	600
cc1cey5d65p9k5y66e8vttur4mn9cr0nmc9jfde4y	100
cc1cawrg807fk0esn3j8g7dlrraks7ffx9rfp07xy	500
cc1etx55kw7tkmnjqz0k0mups4ewxlr324tnxsq57	600
cc16ts55ed7856zntn7xlty6ak4rd0gkjqvm6tyzt	300
cc1mwqyt2f7u69wcv7gxspv9m4jlq29gdadyfww0d	1400
cc1msd2mq4huqkfah4dcx7fy4jjc5ulslamrhly7r	800
cc1mj46rutp0sr029fkr8jwlkgmkqqu0fdn7kjlrk	1400
cc1uthk7gmxz8c7jfxdvcq9rsp8xpl5gsm55pqt64	1200
cc1u0cg7amyg38ep3yggr6fktgaqwsqnfsq3z8u25	1200
cc1un7clms2rsg99842ywkacjg4y6duspqp4u5vze	100
cc1u5c8ace2udgddx479gm5mm2gx9n2dtnfzztw3g	1400
cc1a4pv5q7xd3udc9m5tmvkr8gsfyu9l8nz8plx4y	1200
cc178g3555nt2ks6t7fqrzzt566yrzqfxexky3scz	1300
cc174n8dykfuuh3wl3fzgy8sqfj04kyu9tms3kc2g	500
cc17h6ecc8w29763hxrtu3amh6ntz6scr2l5cdv0x	1200
cc17ugzhkk06rpwcxelkcjjwnudntdkx396377xyz	1400
cc1l37vepnkj8d52pjsm9d8hadlzh07n5d0pt8l06	1200
cc1lnngcxrt8rv2nth857tgtk3ay95jlg8exjrvfu	1100
cc1lcd6ueqfq2h934vhzxclzzgla3nrd646m3v0hv	100
cc1ratqe700frdlck5j7j6v05g04j9jdwp83vjghm	400
cc198ppn5ezf3zt90a6uawcskvy407vrduzzfzqh0	200
cc1xe80y8xsse2ty60cgaetny443tmr95thj2whsf	200
cc1895x9k0yz7fwqe69dgkz8m9wuajn9wz42hap4t	400
cc1gs75ex93d40z5vax0yezs2007rtj7n23xfl6da	500
cc12qv7fl840uekmvvxc745048p4ngrn2dyms8j5n	400
cc125esm3nmev8y56s8z9v5c6y6nkzfmlldh6np2j	600
cc1thed02lmuf9jw60t7090ndp4d96c5q8h24ecjk	600
cc1vecesanll83q8np8d7ktgs0c3fegutkddn7lzl	300
cc1vudwtalaxlzhhwwn5aawcujmmm0jcmuwpe9nze	100
cc1dn50kpwc8vxajpllam4l62zk4g37x2m0c7qgs9	500
cc1whlxz73h8t22ytsdzm04aknlxm2gz04ugcy4eq	600
cc13p786w83l5jzhhkc5cp8ncuuasql297n2qlkas	400
cc13dfkcqn9xczkje8lvsx9rawfmnfh595g43zl23	1000
cc13nwzm5dfd26ue74jr6sc39gyn3qze0rjph4dnj	900
cc1j8x853eaevv87zj6w49uy73k3raggltgzvqsee	100
cc1jhq2grn4l2ht8fakggnzakwl6snfc72tepkec4	1000
cc15rhmyuqj2a3qtufcw7zk45wx9gvge07c8585ha	500
cc15h8l97u99sgcjpm86p3jeq658trnguasqld6mv	200
cc15lwe6hczz9czh2msktksn7mvjsl5t8gz9zzl3l	300
cc1has2wgz58xw0sfaa60z437dl3vs7u52gmury3y	500
cc1c9v8flu0ue3uxaj3mkq9jj9t8vuawz0nzc9xzn	100
cc1cdcsjndsm8ddmd6av7f4zwwn6fqtq34pls4t40	200
cc1m2gy6xkjdwyk6dkvkryckzg5emhmmnxpqxcgez	200
